symbol,name,latest_price,pct_change_today,volume,amount,turnover_rate,pct_rank,turnover_rank,rough_score,momentum,above_ma60,volume_ratio,final_score,industry
301217,铜冠铜箔,200.0,18.31,43634462.0,8333538760.0,200.0,0.9548736462093863,0.8375451263537906,0.907942238267148,5.007810153199159,True,1.2049559307907798,0.9956678700361011,其他
688146,中船特气,364.0,24.3,15631003.0,5364485787.0,364.0,0.9729241877256317,0.9296028880866426,0.9555956678700361,7.7563146499879725,True,1.0537530794958738,0.9942238267148015,科创板
688766,普冉股份,590.0,9.8,10089922.0,5966151967.0,589.9,0.8935018050541517,0.9729241877256317,0.9252707581227436,3.6471329552615,True,1.3048961437571303,0.9925992779783394,科创板
300666,江丰电子,311.2,9.63,25625434.0,8016166024.0,311.19,0.8916967509025271,0.9133574007220217,0.9003610108303248,2.5143986448334275,True,1.5004628541423082,0.9870036101083033,科技-半导体
688308,欧科亿,188.56,14.09,11810036.0,2149384415.0,188.55,0.9314079422382672,0.8231046931407943,0.8880866425992779,5.4663923182441705,True,0.8977914161206061,0.9853790613718412,科创板
300489,光智科技,225.5,11.5,9161639.0,2053486853.0,225.49,0.9223826714801444,0.8646209386281588,0.8992779783393502,4.284743379423482,True,0.9126885878990381,0.983754512635379,创业板
601869,长飞光纤,471.55,11.05,15895122.0,7461804586.0,471.55,0.9124548736462094,0.9584837545126353,0.9308664259927798,3.80046828871017,True,0.9149478283921818,0.9832129963898917,上海主板
603186,华正新材,238.11,11.44,17678635.0,4070407612.0,238.09,0.9205776173285198,0.871841155234657,0.9010830324909747,4.4301026225769675,True,0.7892930006024512,0.9806859205776174,其他
301377,鼎泰高科,600.0,10.0,4214006.0,2552510767.0,600.0,0.8971119133574007,0.9747292418772563,0.9281588447653429,3.698512137823023,True,0.8875101505081731,0.9805054151624548,其他
300857,协创数据,277.76,10.77,31735294.0,8781038135.0,277.76,0.907942238267148,0.9043321299638989,0.9064981949458484,1.7373607962944713,True,1.304044063175392,0.9777978339350181,科技-AI
002384,东山精密,273.0,16.08,79597628.0,21311192154.0,272.99,0.9404332129963899,0.9007220216606499,0.9245487364620939,2.3533963886500433,True,1.030533108145748,0.9774368231046933,深圳主板
002281,光迅科技,266.2,24.2,40967368.0,10477798877.0,266.2,0.9711191335740073,0.8935018050541517,0.940072202166065,2.881032220440297,True,0.847471429865502,0.9752707581227437,深圳主板
688702,盛科通信,337.0,34.0,13655541.0,4442229398.0,337.0,0.9819494584837545,0.9223826714801444,0.9581227436823104,1.5503254124413504,True,1.1478490785489723,0.9720216606498194,科技-通信
300835,龙磁科技,208.08,14.88,6796851.0,1394868118.0,208.07,0.9350180505415162,0.8447653429602888,0.8989169675090253,2.4393388429752068,True,0.8012550836317435,0.9693140794223827,创业板
300548,长芯博创,281.99,12.11,27299765.0,7492886621.0,281.99,0.927797833935018,0.9097472924187726,0.9205776173285198,1.099233231593836,True,1.2102153970949763,0.9680505415162456,创业板
